"module name","license","repository"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"jiti@1.21.7","MIT","https://github.com/unjs/jiti"
"lilconfig@3.1.3","MIT","https://github.com/antonk52/lilconfig"
"lines-and-columns@1.2.4","MIT","https://github.com/eventualbuddha/lines-and-columns"
"magic-string@0.30.21","MIT","https://github.com/Rich-Harris/magic-string"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"merge2@1.4.1","MIT","https://github.com/teambition/merge2"
"messenger-service-frontend@1.0.0","UNLICENSED",""
"micromatch@4.0.8","MIT","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mz@2.7.0","MIT","https://github.com/normalize/mz"
"nanoid@3.3.11","MIT","https://github.com/ai/nanoid"
"node-releases@2.0.27","MIT","https://github.com/chicoxyzzy/node-releases"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-hash@3.0.0","MIT","https://github.com/puleos/object-hash"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"picomatch@4.0.3","MIT","https://github.com/micromatch/picomatch"
"pify@2.3.0","MIT","https://github.com/sindresorhus/pify"
"pirates@4.0.7","MIT","https://github.com/danez/pirates"
"postcss-import@15.1.0","MIT","https://github.com/postcss/postcss-import"
"postcss-js@4.1.0","MIT","https://github.com/postcss/postcss-js"
"postcss-load-config@6.0.1","MIT","https://github.com/postcss/postcss-load-config"
"postcss-nested@6.2.0","MIT","https://github.com/postcss/postcss-nested"
"postcss-selector-parser@6.1.2","MIT","https://github.com/postcss/postcss-selector-parser"
"postcss-value-parser@4.2.0","MIT","https://github.com/TrySound/postcss-value-parser"
"postcss@8.5.6","MIT","https://github.com/postcss/postcss"
"primeflex@3.3.1","MIT","https://github.com/primefaces/primeflex"
"primeicons@7.0.0","MIT","https://github.com/primefaces/primeicons"
"primevue@4.5.4","MIT","https://github.com/primefaces/primevue"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"queue-microtask@1.2.3","MIT","https://github.com/feross/queue-microtask"
"read-cache@1.0.0","MIT","https://github.com/TrySound/read-cache"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"resolve@1.22.11","MIT","https://github.com/browserify/resolve"
"reusify@1.1.0","MIT","https://github.com/mcollina/reusify"
"rollup@4.57.1","MIT","https://github.com/rollup/rollup"
"run-parallel@1.2.0","MIT","https://github.com/feross/run-parallel"
"source-map-js@1.2.1","BSD-3-Clause","https://github.com/7rulnik/source-map-js"
"sucrase@3.35.1","MIT","https://github.com/alangpierce/sucrase"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"tailwindcss@3.4.19","MIT","https://github.com/tailwindlabs/tailwindcss.git#v3"
"thenify-all@1.6.0","MIT","https://github.com/thenables/thenify-all"
"thenify@3.3.1","MIT","https://github.com/thenables/thenify"
"tinyglobby@0.2.15","MIT","https://github.com/SuperchupuDev/tinyglobby"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"ts-interface-checker@0.1.13","Apache-2.0","https://github.com/gristlabs/ts-interface-checker"
"update-browserslist-db@1.2.3","MIT","https://github.com/browserslist/update-db"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"vite@5.4.21","MIT","https://github.com/vitejs/vite"
"vue-router@4.6.4","MIT","https://github.com/vuejs/router"
"vue@3.5.27","MIT","https://github.com/vuejs/core"
